Lon,Lat,GPS Head,PCI548_4_mean,PCI548_5_mean,PCI548_10_mean,PCI548_11_mean,PCI548_12_mean,PCI548_13_mean,PCI548_20_mean,PCI548_21_mean,PCI548_26_mean,PCI548_27_mean,PCI548_cell_mean,PCI548_4_max,PCI548_5_max,PCI548_10_max,PCI548_11_max,PCI548_12_max,PCI548_13_max,PCI548_20_max,PCI548_21_max,PCI548_26_max,PCI548_27_max,PCI548_cell_max,PCI548_4_min,PCI548_5_min,PCI548_10_min,PCI548_11_min,PCI548_12_min,PCI548_13_min,PCI548_20_min,PCI548_21_min,PCI548_26_min,PCI548_27_min,PCI548_cell_min,PCI548_4_std,PCI548_5_std,PCI548_10_std,PCI548_11_std,PCI548_12_std,PCI548_13_std,PCI548_20_std,PCI548_21_std,PCI548_26_std,PCI548_27_std,PCI548_cell_std,PCI548_4_count,PCI548_5_count,PCI548_10_count,PCI548_11_count,PCI548_12_count,PCI548_13_count,PCI548_20_count,PCI548_21_count,PCI548_26_count,PCI548_27_count,PCI548_cell_count,run
-93.262054,44.975288,240,,,,-114.33666666666666,,,,,,,-114.43333333333334,,,,-114.11,,,,,,,-114.4,,,,-114.45,,,,,,,-114.45,,,,0.1962990915244737,,,,,,,0.028867513459475545,0,0,0,3,0,0,0,0,0,0,3,"['7', '7', '7']"
-93.262054,44.9753,0,,,,-112.62,,-111.44999999999999,,,,,-111.54,,,,-112.62,,-111.3,,,,,-111.26,,,,-112.62,,-111.6,,,,,-111.88,,,,,,0.21213203435595723,,,,,0.3143246729100345,0,0,0,1,0,2,0,0,0,0,3,"['7', '7', '7']"
-93.262054,44.975349,120,,,,,,,-124.4,,,,-124.4,,,,,,,-124.4,,,,-124.4,,,,,,,-124.4,,,,-124.4,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,['14']
-93.262054,44.975353,180,,,,-116.3,,,,,,,-116.41,,,,-116.3,,,,,,,-116.41,,,,-116.3,,,,,,,-116.41,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['14']
-93.262054,44.975357,180,,,,-116.105,,,,,,,-116.035,,,,-115.98,,,,,,,-115.88,,,,-116.23,,,,,,,-116.19,,,,0.1767766952966369,,,,,,,0.21920310216783134,0,0,0,2,0,0,0,0,0,0,2,"['14', '14']"
-93.262054,44.975384,210,,,,,,,-120.59,,,,-119.3,,,,,,,-120.59,,,,-119.3,,,,,,,-120.59,,,,-119.3,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,['14']
-93.262054,44.975388,210,,,,-117.74,,,,,,,-117.7,,,,-117.74,,,,,,,-117.7,,,,-117.74,,,,,,,-117.7,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['14']
-93.262047,44.975288,210,,,,-114.02666666666666,,,,,,,-114.32000000000001,,,,-113.86,,,,,,,-114.16,,,,-114.11,,,,,,,-114.4,,,,0.1443375672974054,,,,,,,0.1385640646055144,0,0,0,3,0,0,0,0,0,0,3,"['7', '7', '7']"
-93.262047,44.9753,0,,,,-115.42500000000001,,-114.23833333333334,,,,,-114.13433333333336,,,,-111.98,,-111.92,,,,,-111.28,,,,-117.12,,-116.13,,,,,-117.1,,,,2.6261130973360647,,1.3893966994367832,,,,,1.7064152450402446,0,0,0,6,0,24,0,0,0,0,30,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.262047,44.975349,90,,,,,,-125.15,-124.08500000000001,,,,-124.3075,,,,,,-125.15,-123.88,,,,-123.78,,,,,,-125.15,-124.29,,,,-124.9,,,,,,0.0,0.28991378028649717,,,,0.5004914251679711,0,0,0,0,0,2,2,0,0,0,4,"['14', '14', '14', '14']"
-93.262047,44.975349,150,,,,,,-118.41,,,,,-118.3,,,,,,-118.41,,,,,-118.3,,,,,,-118.41,,,,,-118.3,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262047,44.975349,180,,,,,,-118.57666666666667,,,,,-117.69,,,,,,-118.44,,,,,-117.04,,,,,,-118.77,,,,,-118.18,,,,,,0.17214335111567217,,,,,0.5866003750425026,0,0,0,0,0,3,0,0,0,0,3,"['14', '14', '14']"
-93.262047,44.975388,210,,,,-117.58,,,,,,,-117.45,,,,-117.58,,,,,,,-117.45,,,,-117.58,,,,,,,-117.45,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['14']
-93.262047,44.975391,240,,,,-118.07,,,-118.805,,,,-117.52999999999999,,,,-118.07,,,-118.2,,,,-117.38,,,,-118.07,,,-119.41,,,,-117.76,,,,,,,0.8555992052357231,,,,0.20223748416157228,0,0,0,1,0,0,2,0,0,0,3,"['14', '14', '14']"
-93.262047,44.975395,240,,,,-117.36,,,,,,,-117.34,,,,-117.36,,,,,,,-117.34,,,,-117.36,,,,,,,-117.34,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['14']
-93.262047,44.975773,210,,,,,,,-128.18,,,,-128.04,,,,,,,-128.18,,,,-128.04,,,,,,,-128.18,,,,-128.04,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,['8']
-93.262039,44.975288,210,,,,,,-116.655,-115.85,,-115.29,,-115.53249999999998,,,,,,-116.4,-114.62,,-115.29,,-114.45,,,,,,-116.91,-117.08,,-115.29,,-116.37,,,,,,0.3606244584051328,1.7394826817188973,,,,0.9163832895319133,0,0,0,0,0,2,2,0,1,0,4,"['7', '7', '7', '7']"
-93.262039,44.975292,210,,,,,,-123.26,,,,,-117.12,,,,,,-123.26,,,,,-117.12,,,,,,-123.26,,,,,-117.12,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.262039,44.975296,210,,,,,,-123.26,,,,,-119.05,,,,,,-123.26,,,,,-119.05,,,,,,-123.26,,,,,-119.05,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['7']
-93.262039,44.975349,120,,,,-121.18800000000002,,,,,,,-121.174,,,,-120.23,,,,,,,-119.86,,,,-122.89,,,,,,,-123.02,,,,1.2705195787550834,,,,,,,1.5435770145995236,0,0,0,5,0,0,0,0,0,0,5,"['14', '14', '14', '14', '14']"
-93.262039,44.975349,150,,,,-120.07,,,-121.99,,,,-118.91499999999999,,,,-120.07,,,-121.99,,,,-118.63,,,,-120.07,,,-121.99,,,,-119.2,,,,,,,,,,,0.4030508652763423,0,0,0,1,0,0,1,0,0,0,2,"['14', '14']"
-93.262039,44.975353,90,,,,,,-125.15,,,,,-125.05,,,,,,-125.15,,,,,-125.05,,,,,,-125.15,,,,,-125.05,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262039,44.975357,90,,,,,-132.07,-127.05,,,,,-126.08500000000001,,,,,-132.07,-127.05,,,,,-125.89,,,,,-132.07,-127.05,,,,,-126.28,,,,,,,,,,,0.2757716446627489,0,0,0,0,1,1,0,0,0,0,2,"['14', '14']"
-93.262039,44.975395,240,,,,-115.38,,,,,,,-115.29,,,,-115.38,,,,,,,-115.29,,,,-115.38,,,,,,,-115.29,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,['14']
-93.262039,44.975399,240,,,,-114.23333333333333,,,,,,,-113.78666666666668,,,,-113.8,,,,,,,-113.39,,,,-114.67,,,,,,,-114.53,,,,0.4350095784386078,,,,,,,0.644230807500961,0,0,0,3,0,0,0,0,0,0,3,"['14', '14', '14']"
-93.262039,44.975403,240,,,,-113.56,,,-116.04,,,,-114.21000000000001,,,,-113.56,,,-116.04,,,,-113.56,,,,-113.56,,,-116.04,,,,-114.86,,,,,,,,,,,0.9192388155425048,0,0,0,1,0,0,1,0,0,0,2,"['14', '14']"
-93.262039,44.975491,180,,,,,,-114.58999999999999,,,,,-114.60333333333331,,,,,,-114.59,,,,,-114.6,,,,,,-114.59,,,,,-114.61,,,,,,0.0,,,,,0.0057735026918940835,0,0,0,0,0,3,0,0,0,0,3,"['7', '7', '7']"
-93.262039,44.975494,180,,,,,,-114.63,,,,,-114.96999999999998,,,,,,-114.63,,,,,-114.71,,,,,,-114.63,,,,,-115.24,,,,,,0.0,,,,,0.26514147167125934,0,0,0,0,0,3,0,0,0,0,3,"['7', '7', '7']"
-93.262039,44.975498,180,,,,-116.38499999999999,,,,,,,-115.755,,,,-115.77,,,,,,,-115.75,,,,-117.0,,,,,,,-115.76,,,,0.8697413408594512,,,,,,,0.0070710678118640685,0,0,0,2,0,0,0,0,0,0,2,"['7', '7']"
-93.262039,44.975502,180,,,,-117.0,,,,,,,-115.82,,,,-117.0,,,,,,,-115.77,,,,-117.0,,,,,,,-115.87,,,,0.0,,,,,,,0.07071067811865576,0,0,0,2,0,0,0,0,0,0,2,"['7', '7']"
-93.262039,44.975777,210,,,,,,,-128.18,,,,-128.04,,,,,,,-128.18,,,,-128.04,,,,,,,-128.18,,,,-128.04,,,,,,,0.0,,,,0.0,0,0,0,0,0,0,2,0,0,0,2,"['8', '8']"
-93.262039,44.97578,210,,,,-116.47,,,-136.45,,,,-126.11000000000001,,,,-116.47,,,-136.45,,,,-116.42,,,,-116.47,,,-136.45,,,,-135.8,,,,,,,,,,,13.703729419395293,0,0,0,1,0,0,1,0,0,0,2,"['8', '8']"
-93.262039,44.975784,210,,,,-116.47,,,,,,,-116.48,,,,-116.47,,,,,,,-116.48,,,,-116.47,,,,,,,-116.48,,,,0.0,,,,,,,0.0,0,0,0,2,0,0,0,0,0,0,2,"['8', '8']"
-93.262032,44.975296,210,,-123.16,,,,,,,,,-122.83,,-123.16,,,,,,,,,-122.83,,-123.16,,,,,,,,,-122.83,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,1,['7']
-93.262032,44.9753,210,,-123.35,,,-122.435,,,,,,-120.89333333333333,,-123.35,,,-122.28,,,,,,-119.5,,-123.35,,,-122.59,,,,,,-122.13,,,,,0.21920310216783134,,,,,,1.3219808369765869,0,1,0,0,2,0,0,0,0,0,3,"['7', '7', '7']"
-93.262032,44.975304,210,,,,,,,-119.13,,,,-118.57,,,,,,,-119.13,,,,-118.57,,,,,,,-119.13,,,,-118.57,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,1,['7']
-93.262032,44.975307,210,,,,,,,-120.3,,,,-119.525,,,,,,,-119.13,,,,-118.97,,,,,,,-121.47,,,,-120.08,,,,,,,1.6546298679765237,,,,0.7848885271170724,0,0,0,0,0,0,2,0,0,0,2,"['7', '7']"
-93.262032,44.975311,210,,,,,,,-123.32,,-123.66,,-123.045,,,,,,,-123.32,,-123.66,,-122.93,,,,,,,-123.32,,-123.66,,-123.16,,,,,,,,,,,0.1626345596728987,0,0,0,0,0,0,1,0,1,0,2,"['7', '7']"
-93.262032,44.975349,90,,,,,,-149.2,,,,,-130.0,,,,,,-149.2,,,,,-130.0,,,,,,-149.2,,,,,-130.0,,,,,,0.0,,,,,0.0,0,0,0,0,0,3,0,0,0,0,3,"['14', '14', '14']"
