Lon,Lat,GPS Head,PCI,Beam,ssRSRP_mean,ssRSRQ_mean,ssSINR_mean,ssbRSRP_mean,criRSRP_mean,Pathloss_mean,BLER_mean,CQI_mean,run
-93.262032,44.975304,210,1,13,-94.39,-11.0,5.87,-92.0,-84.0,111.0,0.0,13.0,['7']
-93.262032,44.975307,210,1,13,-92.275,-10.555,7.22,-90.75,-92.25,108.0,3.545,10.835,"['7', '7']"
-93.262032,44.975311,210,1,10,-93.1,-10.445,13.735,-90.0,-83.91499999999999,108.2,0.0,14.0,"['7', '7']"
-93.262032,44.975349,120,1,10,-105.16,-11.01,6.87,-103.0,-92.67,117.67,8.31,9.6,['14']
-93.262032,44.975361,90,1,13,-101.02,-10.84666666666667,8.63,-99.66666666666667,-91.0,113.73333333333333,1.763333333333333,13.333333333333334,"['14', '14', '14']"
-93.262032,44.975399,270,1,10,-106.40333333333332,-11.236666666666666,3.1366666666666667,-102.53333333333335,-96.83333333333333,120.0,0.0,9.666666666666666,"['5', '5', '5']"
-93.262032,44.975399,270,1,12,-104.29,-11.676,2.327,-101.3,-94.23400000000001,117.756,0.0,8.934000000000001,"['5', '5', '5', '5', '5']"
-93.262032,44.975407,240,1,10,-94.53999999999999,-10.434999999999999,10.895,-93.25,-91.83500000000001,109.19999999999999,7.68,11.8,"['14', '14']"
-93.262032,44.97541,240,1,10,-99.02333333333333,-10.526666666666666,15.306666666666667,-96.61,-87.5,112.08333333333333,1.2033333333333334,12.733333333333334,"['14', '14', '14']"
-93.262032,44.975422,300,1,10,-91.52,-10.46,14.54,-90.0,-85.17,106.0,1.27,11.0,['7']
-93.262032,44.975422,330,1,10,-96.18444444444444,-10.47111111111111,16.079444444444444,-93.92611111111111,-87.23222222222222,110.82777777777778,1.1244444444444444,12.314444444444444,"['7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.262032,44.975426,90,1,10,-93.45,-10.51,16.1,-88.5,-81.0,107.0,0.0,13.0,['7']
-93.262032,44.975426,150,1,10,-93.84,-10.53,14.855,-90.0,-83.0,107.0,7.58,12.33,['7']
-93.262032,44.975426,210,1,10,-92.51,-10.49,13.61,-90.0,-85.67,106.67,3.73,12.0,['7']
-93.262032,44.97543,0,1,13,-90.35,-10.52,14.925,-88.5,-82.66499999999999,104.57,3.01,12.5,"['7', '7']"
-93.262032,44.97543,30,1,13,-93.77799999999999,-10.562,10.799000000000001,-92.301,-86.384,109.0,1.556,10.734,"['7', '7', '7', '7', '7']"
-93.262032,44.975445,30,1,5,-103.41,-11.62,3.69,-102.0,-92.0,118.2,0.0,11.0,['5']
-93.262032,44.975449,30,1,5,-103.88499999999999,-11.385,2.94,-101.75,-94.25,118.25,19.0875,9.5,"['5', '5']"
-93.262032,44.975449,180,1,13,-86.77714285714286,-10.421428571428573,19.734047619047622,-84.78571428571429,-78.66714285714285,102.63571428571427,3.3542857142857136,13.832857142857142,"['7', '7', '7', '7', '7', '7', '7']"
-93.262032,44.975452,180,1,13,-89.84,-10.51,17.586666666666666,-87.0,-84.33,105.0,0.0,12.8,['7']
-93.262032,44.975456,180,1,13,-89.505,-10.48,16.854999999999997,-87.0,-82.16499999999999,105.0,1.955,13.71,"['7', '7']"
-93.262032,44.97546,180,1,13,-88.28999999999999,-10.469999999999999,17.33,-86.5,-81.83500000000001,104.0,5.595,13.835,"['7', '7']"
-93.262032,44.975464,180,1,13,-89.125,-10.45,17.322499999999998,-87.0,-81.08500000000001,104.5,0.0,13.665,"['7', '7']"
-93.262032,44.975471,180,1,13,-90.795,-10.5175,14.703750000000001,-88.25,-82.875,107.2675,3.4025,13.0625,"['7', '7', '7', '7']"
-93.262032,44.975475,180,1,13,-89.47,-10.55,12.66,-88.0,-80.0,105.0,3.85,14.0,['7']
-93.262032,44.975479,180,1,13,-89.09333333333332,-10.446666666666665,16.645,-87.66666666666667,-80.22333333333334,104.45333333333333,0.84,14.0,"['7', '7', '7']"
-93.262032,44.975483,180,1,13,-90.05,-10.52,16.009999999999998,-88.0,-81.0,105.0,0.85,14.0,['7']
-93.262032,44.975487,180,1,13,-91.295,-10.515,14.555,-89.0,-82.66499999999999,106.5,2.085,13.75,"['7', '7']"
-93.262032,44.975491,180,1,13,-91.67500000000001,-10.524999999999999,12.205,-90.0,-85.17,107.5,46.795,12.75,"['7', '7']"
-93.262032,44.975506,180,1,13,-88.85,-10.49,18.0,-87.0,-81.67,105.0,0.43,14.0,['7']
-93.262032,44.97551,180,1,13,-88.305,-10.45,17.235,-87.0,-81.0,103.57,3.65,14.0,"['7', '7']"
-93.262032,44.975513,180,1,13,-87.86,-10.41,18.17,-87.0,-80.33,103.0,3.67,14.0,['7']
-93.262032,44.975517,180,1,13,-86.56,-10.4,18.35,-86.0,-79.83500000000001,102.155,5.0,14.0,"['7', '7']"
-93.262032,44.975521,180,1,13,-84.98666666666666,-10.39,20.209999999999997,-83.44333333333333,-77.33333333333333,99.77333333333333,4.3566666666666665,14.0,"['7', '7', '7']"
-93.262032,44.975525,180,1,13,-86.40999999999998,-10.406666666666666,20.385,-84.33333333333333,-76.11,100.96,0.7633333333333333,14.0,"['7', '7', '7']"
-93.262032,44.975529,180,1,13,-89.85,-10.485,20.1575,-87.33500000000001,-79.5,103.89,0.0,14.0,"['7', '7']"
-93.262032,44.975533,180,1,13,-89.475,-10.49,17.3125,-88.16499999999999,-80.33500000000001,105.0,3.15,14.0,"['7', '7']"
-93.262032,44.975536,180,1,13,-89.51,-10.49,18.34,-88.0,-81.0,104.17,0.0,14.0,['7']
-93.262032,44.97554,180,1,13,-88.87714285714287,-10.450000000000001,18.389285714285712,-87.21428571428571,-79.17857142857143,104.47571428571428,2.6814285714285715,14.0,"['7', '7', '7', '7', '7', '7', '7']"
-93.262032,44.975544,180,1,13,-89.05,-10.46,19.63,-88.33,-79.67,105.0,0.0,14.0,['7']
-93.262032,44.975548,180,1,13,-87.1,-10.43,16.53,-86.0,-81.67,103.0,0.0,14.0,['7']
-93.262032,44.975548,210,1,13,-87.08,-10.43,16.705,-86.0,-80.0,102.625,1.04,14.0,['7']
-93.262032,44.975552,210,1,13,-87.48666666666666,-10.436666666666666,16.686666666666667,-85.16666666666667,-77.77666666666666,102.65333333333332,3.89,14.0,"['7', '7', '7']"
-93.262032,44.975555,210,1,13,-92.8075,-10.535,14.537500000000001,-90.5,-81.3325,108.2075,2.015,13.9175,"['7', '7', '7', '7']"
-93.262032,44.975559,210,1,13,-92.62,-10.53,11.05,-89.0,-82.0,107.58,7.91,13.25,['7']
-93.262032,44.975761,120,1,10,-100.53999999999999,-10.785,7.785,-97.9975,-88.5025,114.43,0.0,12.665,"['8', '8']"
-93.262032,44.975761,120,1,13,-100.54,-10.81,2.95,-98.0,-91.0,115.54,11.57,9.6,['8']
-93.262032,44.975784,210,1,13,-91.02,-10.53,15.295,-89.0,-82.0,106.0,0.0,13.0,['8']
-93.262032,44.975788,210,1,13,-91.55666666666667,-10.506666666666668,15.815000000000003,-88.5,-78.05666666666667,106.16666666666667,0.0,14.0,"['8', '8', '8']"
-93.262024,44.975311,210,1,10,-89.89,-10.46,15.629999999999999,-88.0,-82.0,104.0,0.0,14.0,['7']
-93.262024,44.975311,210,1,13,-91.465,-10.665,12.614999999999998,-89.0,-81.03999999999999,110.0,0.0,14.0,"['7', '7']"
-93.262024,44.975365,60,1,13,-101.16333333333334,-10.763333333333334,7.253333333333333,-99.0,-91.33333333333333,113.26666666666667,2.47,11.866666666666667,"['14', '14', '14']"
-93.262024,44.975395,270,1,10,-105.17,-11.195,5.09,-102.0,-101.25,119.0,15.725,10.5,"['5', '5']"
-93.262024,44.97541,240,1,10,-95.16666666666667,-10.513333333333334,13.886666666666665,-96.55333333333333,-89.05666666666667,109.67666666666666,3.14,13.133333333333333,"['14', '14', '14']"
-93.262024,44.97543,30,1,13,-93.79,-10.533333333333333,13.019999999999998,-91.77666666666666,-85.22333333333334,108.55666666666667,2.56,11.11,"['7', '7', '7']"
-93.262024,44.975441,180,1,13,-83.11,-10.39,20.6,-81.0,-76.0,99.0,0.0,14.0,['7']
-93.262024,44.975445,180,1,13,-84.29499999999999,-10.38,21.590000000000003,-82.5,-75.625,99.5,0.0,14.0,"['7', '7']"
-93.262024,44.975449,180,1,13,-86.23,-10.38,20.29,-84.0,-77.5,101.0,0.0,14.0,['7']
-93.262024,44.975559,210,1,13,-91.32,-10.53,16.725,-89.11166666666666,-81.16666666666667,106.29333333333334,2.106666666666667,14.0,"['7', '7', '7']"
-93.262024,44.975765,90,1,10,-102.22,-10.92,7.21,-103.5,-96.0,117.29,7.69,9.4,['8']
-93.262024,44.975765,90,1,13,-104.52,-10.96,-2.56,-99.5,-100.5,121.0,17.66,9.25,['8']
-93.262024,44.975792,210,1,10,-92.88,-10.48,6.1,-93.67,-86.67,108.0,0.0,12.5,['8']
