Lon,Lat,GPS Head,PCI1_4_mean,PCI1_5_mean,PCI1_10_mean,PCI1_11_mean,PCI1_12_mean,PCI1_13_mean,PCI1_26_mean,PCI1_28_mean,PCI1_29_mean,PCI1_cell_mean,PCI1_20_mean,PCI1_21_mean,PCI1_27_mean,PCI1_4_max,PCI1_5_max,PCI1_10_max,PCI1_11_max,PCI1_12_max,PCI1_13_max,PCI1_26_max,PCI1_28_max,PCI1_29_max,PCI1_cell_max,PCI1_20_max,PCI1_21_max,PCI1_27_max,PCI1_4_min,PCI1_5_min,PCI1_10_min,PCI1_11_min,PCI1_12_min,PCI1_13_min,PCI1_26_min,PCI1_28_min,PCI1_29_min,PCI1_cell_min,PCI1_20_min,PCI1_21_min,PCI1_27_min,PCI1_4_std,PCI1_5_std,PCI1_10_std,PCI1_11_std,PCI1_12_std,PCI1_13_std,PCI1_26_std,PCI1_28_std,PCI1_29_std,PCI1_cell_std,PCI1_20_std,PCI1_21_std,PCI1_27_std,PCI1_4_count,PCI1_5_count,PCI1_10_count,PCI1_11_count,PCI1_12_count,PCI1_13_count,PCI1_26_count,PCI1_28_count,PCI1_29_count,PCI1_cell_count,PCI1_20_count,PCI1_21_count,PCI1_27_count,run
-93.26207,44.9753,270,,,,,,-116.87,,,,-116.98,,,,,,,,,-116.87,,,,-116.98,,,,,,,,,-116.87,,,,-116.98,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,1,0,0,0,['7']
-93.26207,44.9753,330,,,,,,-116.87,,,,-118.93,,,,,,,,,-116.87,,,,-117.48,,,,,,,,,-116.87,,,,-120.72,,,,,,,,,0.0,,,,1.6465418306256288,,,,0,0,0,0,0,3,0,0,0,3,0,0,0,"['7', '7', '7']"
-93.26207,44.975349,120,-106.53666666666668,,-104.23333333333333,-107.65333333333332,,-101.59666666666668,,,,-101.59666666666668,,,,-106.32,,-104.04,-107.49,,-101.39,,,,-101.39,,,,-106.74,,-104.42,-107.82,,-101.72,,,,-101.72,,,,0.21031722072463238,,0.19008769905844095,0.16502525059315495,,0.1800925687898668,,,,0.1800925687898668,,,,3,0,3,3,0,3,0,0,0,3,0,0,0,"['14', '14', '14']"
-93.262062,44.975288,240,-111.42750000000001,,-110.2725,-111.195,,-109.752,,,,-109.52399999999997,,,,-108.75,,-106.64,-109.38,,-105.53,,,,-105.46,,,,-115.1,,-115.18,-115.16,,-113.52,,,,-113.37,,,,2.7424122593074856,,3.9490874473309225,2.6961021246730743,,3.4193595891628568,,,,3.351257972761881,,,,4,0,4,4,0,5,0,0,0,5,0,0,0,"['7', '7', '7', '7', '7']"
-93.262062,44.9753,0,-107.55882352941178,,-105.87249999999999,-107.94722222222225,,-106.52619047619046,,,,-104.34333333333332,-111.59,,-104.88666666666667,-103.63,,-100.8,-105.43,,-102.02,,,,-100.79,-110.25,,-102.7,-111.47,,-108.82,-110.11,,-110.01,,,,-107.95,-112.93,,-108.59,2.299181599920232,,2.846756002337062,1.5582373358289214,,2.333909758732061,,,,2.2831411111303144,1.8950461735799522,,2.178583637748769,17,0,20,18,0,21,0,0,0,21,2,0,6,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.262062,44.975349,120,-107.125,,-103.31,-106.815,,-102.24000000000001,,,,-102.04499999999999,,,,-106.77,,-103.14,-106.73,,-101.89,,,,-101.77,,,,-107.48,,-103.48,-106.9,,-102.59,,,,-102.32,,,,0.5020458146424543,,0.24041630560342858,0.12020815280170925,,0.49497474683058024,,,,0.38890872965260415,,,,2,0,2,2,0,2,0,0,0,2,0,0,0,"['14', '14']"
-93.262062,44.975361,180,-107.75999999999999,,-101.54666666666667,-112.125,,-101.79333333333334,,,-118.66,-100.82000000000001,,,,-106.72,,-100.85,-110.62,,-101.64,,,-118.66,-100.31,,,,-109.09,,-102.77,-113.63,,-101.93,,,-118.66,-101.7,,,,1.211321592311476,,1.0628421017880958,2.1283914113715015,,0.145716619962629,,,,0.7653103945459007,,,,3,0,3,2,0,3,0,0,1,3,0,0,0,"['14', '14', '14']"
-93.262062,44.975365,180,-109.20666666666666,,-102.75,-113.27333333333333,,-102.84666666666665,,,,-102.20333333333333,,,,-108.25,,-101.63,-111.18,,-102.44,,,,-101.48,,,,-109.77,,-103.67,-116.04,,-103.45,,,,-103.05,,,,0.8328465244769464,,1.0346013725102048,2.498986461214487,,0.5329477773040592,,,,0.7922331306713499,,,,3,0,3,3,0,3,0,0,0,3,0,0,0,"['14', '14', '14']"
-93.262062,44.975368,180,-106.87666666666667,,-99.68333333333332,-117.63,,-100.43333333333332,,,-111.175,-99.48666666666668,,,,-105.8,,-98.78,-117.63,,-99.64,,,-110.61,-98.62,,,,-108.68,,-100.55,-117.63,,-100.88,,,-111.74,-100.18,,,,1.5715067080141156,,0.885569496614085,,,0.6888637988262488,,,0.7990306627407955,0.7943131204590128,,,,3,0,3,1,0,3,0,0,2,3,0,0,0,"['14', '14', '14']"
-93.262062,44.975372,180,-111.79,,-104.47,,,-104.8,,,-115.24,-103.55,,,,-111.79,,-104.47,,,-104.8,,,-115.24,-103.55,,,,-111.79,,-104.47,,,-104.8,,,-115.24,-103.55,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,0,1,1,0,0,0,['14']
