Lon,Lat,GPS Head,PCI12866_mean,PCI16266_mean,PCI20266_mean,PCI22466_mean,PCI28866_mean,PCI12813_mean,PCI16213_mean,PCI20213_mean,PCI22413_mean,PCI28813_mean,PCI12866_max,PCI16266_max,PCI20266_max,PCI22466_max,PCI28866_max,run_max,PCI12813_max,PCI16213_max,PCI20213_max,PCI22413_max,PCI28813_max,PCI12866_min,PCI16266_min,PCI20266_min,PCI22466_min,PCI28866_min,run_min,PCI12813_min,PCI16213_min,PCI20213_min,PCI22413_min,PCI28813_min,PCI12866_std,PCI16266_std,PCI20266_std,PCI22466_std,PCI28866_std,PCI12813_std,PCI16213_std,PCI20213_std,PCI22413_std,PCI28813_std,PCI12866_count,PCI16266_count,PCI20266_count,PCI22466_count,PCI28866_count,run_count,PCI12813_count,PCI16213_count,PCI20213_count,PCI22413_count,PCI28813_count,run
-93.26207,44.9753,330,,,,,,,,,,-67.494,,,,,,7,,,,,-65.51,,,,,,7,,,,,-70.56,,,,,,,,,,1.9121140133370709,0,0,0,0,0,5,0,0,0,0,5,"['7', '7', '7', '7', '7']"
-93.26207,44.975349,120,,,,,,,,,,-74.22800000000001,,,,,,14,,,,,-73.24,,,,,,14,,,,,-75.73,,,,,,,,,,1.0123092412894388,0,0,0,0,0,5,0,0,0,0,5,"['14', '14', '14', '14', '14']"
-93.262062,44.975288,240,,,,,,,,,,-68.60285714285716,,,,,,7,,,,,-65.83,,,,,,7,,,,,-71.98,,,,,,,,,,2.142908570811451,0,0,0,0,0,7,0,0,0,0,7,"['7', '7', '7', '7', '7', '7', '7']"
-93.262062,44.9753,0,,,,,,,,,,-71.8016,,,,,,7,,,,,-67.88,,,,,,7,,,,,-78.19,,,,,,,,,,3.6442862584233655,0,0,0,0,0,25,0,0,0,0,25,"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']"
-93.262062,44.975349,120,,,,,,,,,,-69.375,,,,,,14,,,,,-68.3,,,,,,14,,,,,-70.45,,,,,,,,,,1.5202795795510813,0,0,0,0,0,2,0,0,0,0,2,"['14', '14']"
-93.262062,44.975361,180,,,,,,,,,,-67.572,,,,,,14,,,,,-67.02,,,,,,14,,,,,-68.09,,,,,,,,,,0.49281842498023615,0,0,0,0,0,5,0,0,0,0,5,"['14', '14', '14', '14', '14']"
-93.262062,44.975365,180,,,,,,,,,,-64.06,,,,,,14,,,,,-63.73,,,,,,14,,,,,-64.34,,,,,,,,,,0.250998007960228,0,0,0,0,0,4,0,0,0,0,4,"['14', '14', '14', '14']"
-93.262062,44.975368,180,,,,,,,,,,-63.81,,,,,,14,,,,,-62.95,,,,,,14,,,,,-64.67,,,,,,,,,,0.7456540752922906,0,0,0,0,0,5,0,0,0,0,5,"['14', '14', '14', '14', '14']"
-93.262062,44.975372,180,,,,,,,,,,-63.42,,,,,,14,,,,,-62.93,,,,,,14,,,,,-63.91,,,,,,,,,,0.6929646455628169,0,0,0,0,0,2,0,0,0,0,2,"['14', '14']"
-93.262062,44.975372,210,,,,,,,,,,-62.83,,,,,,14,,,,,-62.83,,,,,,14,,,,,-62.83,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262062,44.975376,210,,,,,,,,,,-63.129999999999995,,,,,,14,,,,,-62.59,,,,,,14,,,,,-64.13,,,,,,,,,,0.8669486720677246,0,0,0,0,0,3,0,0,0,0,3,"['14', '14', '14']"
-93.262062,44.97538,210,,,,,,,,,,-60.852500000000006,,,,,,14,,,,,-60.21,,,,,,14,,,,,-61.59,,,,,,,,,,0.592642387954155,0,0,0,0,0,4,0,0,0,0,4,"['14', '14', '14', '14']"
-93.262062,44.975384,210,,,,,,,,,,-61.09,,,,,,14,,,,,-61.09,,,,,,14,,,,,-61.09,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262054,44.975288,240,,,,,,,,,,-69.34200000000001,,,,,,7,,,,,-66.9,,,,,,7,,,,,-71.29,,,,,,,,,,1.7542434266657525,0,0,0,0,0,5,0,0,0,0,5,"['7', '7', '7', '7', '7']"
-93.262054,44.9753,0,,,,,,,,,,-68.9,,,,,,7,,,,,-68.51,,,,,,7,,,,,-69.56,,,,,,,,,,0.4180908992073339,0,0,0,0,0,5,0,0,0,0,5,"['7', '7', '7', '7', '7']"
-93.262054,44.975349,120,,,,,,,,,,-70.00999999999999,,,,,,14,,,,,-68.14,,,,,,14,,,,,-72.04,,,,,,,,,,1.954916878028322,0,0,0,0,0,3,0,0,0,0,3,"['14', '14', '14']"
-93.262054,44.975353,180,,,,,,,,,,-63.81,,,,,,14,,,,,-63.81,,,,,,14,,,,,-63.81,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262054,44.975357,180,,,,,,,,,,-66.28,,,,,,14,,,,,-66.28,,,,,,14,,,,,-66.28,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,1,['14']
-93.262054,44.975384,210,,,,,,,,,,-61.55500000000001,,,,,,14,,,,,-61.52,,,,,,14,,,,,-61.59,,,,,,,,,,0.04949747468306104,0,0,0,0,0,2,0,0,0,0,2,"['14', '14']"
