Lon,Lat,GPS Head,PCI377_4_mean,PCI377_5_mean,PCI377_10_mean,PCI377_11_mean,PCI377_12_mean,PCI377_13_mean,PCI377_20_mean,PCI377_21_mean,PCI377_26_mean,PCI377_28_mean,PCI377_cell_mean,PCI377_29_mean,PCI377_27_mean,PCI377_4_max,PCI377_5_max,PCI377_10_max,PCI377_11_max,PCI377_12_max,PCI377_13_max,PCI377_20_max,PCI377_21_max,PCI377_26_max,PCI377_28_max,PCI377_cell_max,PCI377_29_max,PCI377_27_max,PCI377_4_min,PCI377_5_min,PCI377_10_min,PCI377_11_min,PCI377_12_min,PCI377_13_min,PCI377_20_min,PCI377_21_min,PCI377_26_min,PCI377_28_min,PCI377_cell_min,PCI377_29_min,PCI377_27_min,PCI377_4_std,PCI377_5_std,PCI377_10_std,PCI377_11_std,PCI377_12_std,PCI377_13_std,PCI377_20_std,PCI377_21_std,PCI377_26_std,PCI377_28_std,PCI377_cell_std,PCI377_29_std,PCI377_27_std,PCI377_4_count,PCI377_5_count,PCI377_10_count,PCI377_11_count,PCI377_12_count,PCI377_13_count,PCI377_20_count,PCI377_21_count,PCI377_26_count,PCI377_28_count,PCI377_cell_count,PCI377_29_count,PCI377_27_count,run
-93.262016,44.975426,180,,,,,-122.84999999999998,,,,,,-123.19666666666667,,,,,,,-122.85,,,,,,-122.98,,,,,,,-122.85,,,,,,-123.38,,,,,,,0.0,,,,,,0.20207259421637028,,,0,0,0,0,3,0,0,0,0,0,3,0,0,"['7', '7', '7']"
-93.262016,44.97543,30,,,,-116.93,,,-115.38,,,,-115.10000000000001,,,,,,-113.99,,,-115.38,,,,-113.76,,,,,,-119.87,,,-115.38,,,,-116.66,,,,,,4.157787873376911,,,,,,,1.462463674762551,,,0,0,0,2,0,0,1,0,0,0,3,0,0,"['7', '7', '7']"
-93.262016,44.97543,180,,,,,-120.32,,,,,,-120.32,,,,,,,-119.31,,,,,,-119.31,,,,,,,-121.33,,,,,,-121.33,,,,,,,1.4283556979968282,,,,,,1.4283556979968282,,,0,0,0,0,2,0,0,0,0,0,2,0,0,"['7', '7']"
-93.262016,44.975433,30,,,,-113.37,,,,,,,-113.29,,,,,,-113.37,,,,,,,-113.29,,,,,,-113.37,,,,,,,-113.29,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,['7']
-93.262016,44.975433,180,,,,,-119.55,,,,,,-119.55,,,,,,,-119.38,,,,,,-119.38,,,,,,,-119.72,,,,,,-119.72,,,,,,,0.24041630560342858,,,,,,0.24041630560342858,,,0,0,0,0,2,0,0,0,0,0,2,0,0,"['7', '7']"
-93.262016,44.975437,30,,,,-113.8,,,,,,,-116.25,,,,,,-113.8,,,,,,,-116.25,,,,,,-113.8,,,,,,,-116.25,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,['7']
-93.262016,44.975437,180,,,,,-119.38,,,,,,-119.38,,,,,,,-119.38,,,,,,-119.38,,,,,,,-119.38,,,,,,-119.38,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,['7']
-93.262016,44.975441,30,,,,-117.86333333333333,,,-117.88,,,,-117.0375,,,,,,-117.5,,,-117.88,,,,-115.53,,,,,,-118.13,,,-117.88,,,,-118.01,,,,,,0.32593455375785413,,,,,,,1.0613631172537876,,,0,0,0,3,0,0,1,0,0,0,4,0,0,"['7', '7', '7', '7']"
-93.262016,44.975456,30,,,,,,,,-112.52,,,-110.99,,,,,,,,,,-112.52,,,-110.99,,,,,,,,,,-112.52,,,-110.99,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,['5']
-93.262016,44.97546,30,,,,,-106.295,,,,,,-105.87,,,,,,,-103.11,,,,,,-103.58,,,,,,,-109.48,,,,,,-108.16,,,,,,,4.504270196158311,,,,,,3.2385490578343914,,,0,0,0,0,2,0,0,0,0,0,2,0,0,"['5', '5']"
-93.262016,44.975464,30,,,,,-100.1,,,,,,-100.6,,,,,,,-99.72,,,,,,-100.06,,,,,,,-100.48,,,,,,-101.14,,,,,,,0.5374011537017748,,,,,,0.7636753236814651,,,0,0,0,0,2,0,0,0,0,0,2,0,0,"['5', '5']"
-93.262016,44.975769,90,,,,-118.8075,,,,,,,-118.79750000000001,,,,,,-118.45,,,,,,,-118.45,,,,,,-119.2,,,,,,,-119.2,,,,,,0.4137934267240091,,,,,,,0.4037635446644491,,,0,0,0,4,0,0,0,0,0,0,4,0,0,"['8', '8', '8', '8']"
-93.262016,44.975773,60,,,,-117.01,,,,,,,-117.45,,,,,,-117.01,,,,,,,-117.45,,,,,,-117.01,,,,,,,-117.45,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,1,0,0,['8']
-93.262009,44.975323,180,,,,,,,,-137.53,,,-137.53,,,,,,,,,,-137.53,,,-137.53,,,,,,,,,,-137.53,,,-137.53,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,['7']
-93.262009,44.975327,180,,,,,,,,-136.57,,,-136.57,,,,,,,,,,-136.57,,,-136.57,,,,,,,,,,-136.57,,,-136.57,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,0,0,['7']
-93.262009,44.97533,180,,,,,,,,-137.23000000000002,,,-137.23000000000002,,,,,,,,,,-136.19,,,-136.19,,,,,,,,,,-138.27,,,-138.27,,,,,,,,,,1.4707821048680378,,,1.4707821048680378,,,0,0,0,0,0,0,0,2,0,0,2,0,0,"['7', '7']"
-93.262009,44.975334,180,,,,,,,,-129.39,,,-129.39,,,,,,,,,,-127.34,,,-127.34,,,,,,,,,,-131.44,,,-131.44,,,,,,,,,,2.8991378028648507,,,2.8991378028648507,,,0,0,0,0,0,0,0,2,0,0,2,0,0,"['7', '7']"
-93.262009,44.975357,180,,,,,,,,-123.53,,,-123.22,,,,,,,,,,-123.01,,,-122.85,,,,,,,,,,-124.05,,,-123.59,,,,,,,,,,0.7353910524340038,,,0.5232590180780515,,,0,0,0,0,0,0,0,2,0,0,2,0,0,"['7', '7']"
-93.262009,44.975361,180,,,,,-124.55,,,-123.455,,,-123.41666666666667,,,,,,,-124.55,,,-121.91,,,-121.23,,,,,,,-124.55,,,-125.0,,,-124.68,,,,,,,,,,2.1849599538664344,,,1.9013241000243362,,,0,0,0,0,1,0,0,2,0,0,3,0,0,"['7', '7', '7']"
-93.262009,44.975365,180,,,,,-122.625,,,,,,-120.81,,,,,,,-121.33,,,,,,-120.38,,,,,,,-123.92,,,,,,-121.24,,,,,,,1.8314065632731604,,,,,,0.6081118318204355,,,0,0,0,0,2,0,0,0,0,0,2,0,0,"['7', '7']"
-93.262009,44.975368,180,,,,,-124.75,,,-123.84,,,-122.95714285714287,,,,,,,-121.73,,,-120.28,,,-119.73,,,,,,,-128.22,,,-127.4,,,-126.02,,,,,,,2.972919440549979,,,5.034600282048221,,,2.4371411823809357,,,0,0,0,0,5,0,0,2,0,0,7,0,0,"['7', '7', '7', '7', '7', '7', '7']"
